"","Posted.On","BHK","Size","Floor","Area.Type","Area.Locality","City","Furnishing.Status","Tenant.Preferred","Bathroom","Point.of.Contact","rownum"
"3925","2022-05-10",2,200,"Ground out of 1","Carpet Area","Dammaiguda","Hyderabad","Unfurnished","Bachelors",2,"Contact Owner",382
"3927","2022-04-30",4,1000,"15 out of 20","Super Area","Narsingi, Outer Ring Road","Hyderabad","Semi-Furnished","Bachelors/Family",3,"Contact Owner",383
"3941","2022-04-29",3,2000,"Upper Basement out of 3","Carpet Area","A 307 Blossom Heights","Hyderabad","Furnished","Bachelors",3,"Contact Owner",384
"3949","2022-05-20",2,1100,"2 out of 4","Super Area","Boduppal, NH 2 2","Hyderabad","Unfurnished","Bachelors/Family",3,"Contact Owner",385
"3962","2022-07-08",2,1010,"5 out of 5","Carpet Area","ECIL","Hyderabad","Unfurnished","Bachelors",2,"Contact Owner",386
"3963","2022-07-08",3,1850,"5 out of 5","Carpet Area","Patrika Nagar, Hitech City","Hyderabad","Furnished","Bachelors",3,"Contact Owner",387
"3975","2022-05-06",1,650,"1 out of 3","Super Area","Banjara Hills, NH 9","Hyderabad","Semi-Furnished","Bachelors/Family",1,"Contact Owner",388
"4011","2022-05-25",2,900,"1 out of 3","Super Area","Santosh Nagar","Hyderabad","Unfurnished","Bachelors/Family",2,"Contact Owner",389
"4013","2022-05-25",1,680,"Ground out of 3","Carpet Area","Bapu Nagar-Langar Houz","Hyderabad","Unfurnished","Bachelors/Family",1,"Contact Owner",390
"4014","2022-06-06",1,550,"2 out of 3","Super Area","Uppal, NH 2 2","Hyderabad","Semi-Furnished","Bachelors/Family",1,"Contact Owner",391
"4034","2022-06-25",2,1080,"3 out of 4","Super Area","Anupuram Colony","Hyderabad","Semi-Furnished","Bachelors/Family",2,"Contact Owner",392
"4035","2022-07-06",3,1955,"1 out of 19","Super Area","Kondapur","Hyderabad","Unfurnished","Bachelors",3,"Contact Agent",393
"4051","2022-05-12",1,450,"Ground out of 3","Super Area","Somajiguda, NH 9","Hyderabad","Unfurnished","Bachelors/Family",1,"Contact Owner",394
"4085","2022-07-06",1,350,"2 out of 4","Super Area","Langar Houz","Hyderabad","Unfurnished","Bachelors/Family",1,"Contact Owner",395
"4087","2022-05-12",2,1200,"1 out of 6","Super Area","Vijay nagar colony m","Hyderabad","Semi-Furnished","Bachelors/Family",2,"Contact Owner",396
"4090","2022-07-06",3,1400,"2 out of 4","Super Area","Toli Chowki","Hyderabad","Unfurnished","Bachelors/Family",3,"Contact Owner",397
"4094","2022-06-09",3,1675,"5 out of 12","Super Area","Gachibowli","Hyderabad","Unfurnished","Bachelors/Family",3,"Contact Owner",398
"4101","2022-06-24",1,100,"3 out of 3","Carpet Area","in 1-71/1/a","Hyderabad","Semi-Furnished","Bachelors/Family",1,"Contact Owner",399
"4110","2022-05-28",3,1771,"2 out of 5","Super Area","Bandam Kommu","Hyderabad","Unfurnished","Bachelors/Family",3,"Contact Owner",400
"4125","2022-04-30",2,1248,"4 out of 5","Carpet Area","Kothapet","Hyderabad","Semi-Furnished","Bachelors/Family",2,"Contact Owner",401
"4146","2022-06-25",3,1800,"1 out of 3","Super Area","Prashanth hills","Hyderabad","Semi-Furnished","Bachelors/Family",3,"Contact Owner",402
"4160","2022-05-06",2,1150,"2 out of 5","Super Area","Nizampet","Hyderabad","Semi-Furnished","Bachelors/Family",2,"Contact Owner",403
"4175","2022-07-06",2,140,"2 out of 4","Super Area","Sivarampalli, Hyderabad Expressway","Hyderabad","Unfurnished","Bachelors/Family",2,"Contact Owner",404
"4184","2022-06-10",3,1000,"1 out of 4","Carpet Area","OU Colony-Shaikpet","Hyderabad","Semi-Furnished","Bachelors/Family",3,"Contact Owner",405
"4186","2022-06-06",1,8000,"Ground out of 4","Super Area"," Beeramguda, Ramachandra Puram, NH 9","Hyderabad","Unfurnished","Bachelors/Family",10,"Contact Owner",406
"4205","2022-06-29",3,1600,"4 out of 4","Carpet Area","Akkineni Homes Yousufguda","Hyderabad","Semi-Furnished","Bachelors/Family",3,"Contact Owner",407
"4227","2022-05-12",1,450,"Ground out of 1","Super Area","Hafeezpet, NH 9","Hyderabad","Unfurnished","Bachelors/Family",2,"Contact Owner",408
"4228","2022-06-01",2,1000,"4 out of 5","Super Area","Somajiguda, NH 9","Hyderabad","Semi-Furnished","Bachelors/Family",2,"Contact Owner",409
"4233","2022-06-02",3,2000,"Ground out of 12","Carpet Area","Gachibowli","Hyderabad","Semi-Furnished","Family",3,"Contact Agent",410
"4251","2022-06-28",2,650,"4 out of 4","Carpet Area","Namalagundu","Hyderabad","Unfurnished","Bachelors",2,"Contact Owner",411
"4253","2022-06-28",3,1500,"1 out of 1","Super Area","Old Bowenpally","Hyderabad","Unfurnished","Bachelors/Family",3,"Contact Owner",412
"4259","2022-05-20",1,300,"2 out of 3","Super Area","Gachibowli","Hyderabad","Semi-Furnished","Bachelors/Family",1,"Contact Owner",413
"4269","2022-06-18",2,1100,"1 out of 7","Super Area","Upparpally, Hyderabad Expressway","Hyderabad","Furnished","Bachelors/Family",2,"Contact Owner",414
"4310","2022-07-08",2,1200,"2 out of 25","Super Area","Nanakaramguda","Hyderabad","Furnished","Bachelors/Family",2,"Contact Owner",415
"4341","2022-07-06",1,500,"1 out of 2","Super Area","RTC Cross Road","Hyderabad","Semi-Furnished","Bachelors/Family",1,"Contact Owner",416
"4357","2022-05-01",1,500,"1 out of 3","Super Area","Champapet, Koti","Hyderabad","Semi-Furnished","Bachelors/Family",1,"Contact Owner",417
"4378","2022-05-23",1,1050,"2 out of 3","Carpet Area","Banjara Hills, NH 9","Hyderabad","Furnished","Bachelors",1,"Contact Agent",418
"4388","2022-06-25",2,1000,"5 out of 6","Super Area","Upperpally","Hyderabad","Semi-Furnished","Bachelors/Family",2,"Contact Owner",419
"4390","2022-07-02",3,1250,"2 out of 8","Super Area","Red Hills, Lakdikapul, NH 7","Hyderabad","Semi-Furnished","Bachelors/Family",2,"Contact Owner",420
"4394","2022-06-14",3,1265,"2 out of 5","Super Area","Pragathi Nagar, Kukatpally","Hyderabad","Semi-Furnished","Bachelors/Family",3,"Contact Owner",421
"4395","2022-04-29",1,700,"1 out of 3","Carpet Area","Panjagutta Colony","Hyderabad","Unfurnished","Bachelors",1,"Contact Owner",422
"4397","2022-07-03",2,850,"Ground out of 2","Carpet Area","Srinivasa Colony, Secunderabad","Hyderabad","Semi-Furnished","Family",2,"Contact Owner",423
"4402","2022-06-25",3,1100,"4 out of 10","Super Area","Rajendra Nagar, Outer Ring Road","Hyderabad","Semi-Furnished","Bachelors/Family",2,"Contact Owner",424
"4406","2022-07-07",2,1350,"1 out of 5","Carpet Area","Hitech City","Hyderabad","Semi-Furnished","Bachelors/Family",2,"Contact Owner",425
"4414","2022-05-09",3,1200,"2 out of 3","Super Area","Toli Chowki","Hyderabad","Semi-Furnished","Bachelors/Family",2,"Contact Owner",426
"4415","2022-05-31",3,1500,"4 out of 5","Carpet Area","KBR Laxmi Residency","Hyderabad","Semi-Furnished","Bachelors/Family",3,"Contact Owner",427
"4420","2022-07-08",2,1000,"1 out of 3","Super Area","Gouri Shankar Nagar Colony, Banjara Hills","Hyderabad","Semi-Furnished","Bachelors/Family",2,"Contact Owner",428
"4421","2022-05-20",2,175,"1 out of 3","Super Area","Old Malakpet, NH 9","Hyderabad","Semi-Furnished","Bachelors/Family",2,"Contact Owner",429
"4426","2022-07-10",4,3455,"12 out of 17","Super Area","Madhapur","Hyderabad","Semi-Furnished","Family",4,"Contact Agent",430
"4432","2022-05-06",1,400,"2 out of 2","Super Area","Shamshabad","Hyderabad","Unfurnished","Bachelors/Family",1,"Contact Owner",431
"4435","2022-05-12",2,400,"Ground out of 2","Super Area","Old Bowenpally","Hyderabad","Unfurnished","Bachelors/Family",3,"Contact Owner",432
"4450","2022-05-16",2,900,"1 out of 3","Super Area","Ramanthapur, NH 2 2","Hyderabad","Semi-Furnished","Bachelors/Family",2,"Contact Owner",433
"4465","2022-06-22",2,1600,"1 out of 2","Super Area","Old Alwal","Hyderabad","Unfurnished","Bachelors/Family",3,"Contact Owner",434
"4474","2022-06-01",2,600,"2 out of 2","Super Area","Vanasthalipuram, NH 9","Hyderabad","Unfurnished","Bachelors/Family",2,"Contact Owner",435
"4488","2022-06-04",2,1156,"Ground out of 2","Carpet Area","Beeramguda, Ramachandra Puram, NH 9","Hyderabad","Unfurnished","Bachelors",2,"Contact Owner",436
"4510","2022-05-09",3,1800,"1 out of 5","Carpet Area","Raj Bhawan Road","Hyderabad","Furnished","Bachelors/Family",3,"Contact Owner",437
"4515","2022-05-12",2,1060,"2 out of 5","Super Area","Dammaiguda","Hyderabad","Semi-Furnished","Bachelors/Family",2,"Contact Owner",438
"4516","2022-05-16",2,900,"Ground out of 2","Super Area","Uppal, NH 2 2","Hyderabad","Furnished","Bachelors/Family",1,"Contact Owner",439
"4532","2022-05-25",1,800,"3 out of 4","Super Area","Yousufguda, NH 9","Hyderabad","Semi-Furnished","Bachelors/Family",1,"Contact Owner",440
"4534","2022-05-07",2,1350,"Ground out of 1","Super Area","Rampally","Hyderabad","Unfurnished","Bachelors/Family",2,"Contact Owner",441
"4537","2022-07-05",3,1800,"1 out of 2","Carpet Area","Old Bowenpally","Hyderabad","Semi-Furnished","Family",3,"Contact Owner",442
"4548","2022-05-12",2,650,"2 out of 3","Super Area","Balanagar","Hyderabad","Unfurnished","Family",2,"Contact Owner",443
"4550","2022-05-12",1,300,"1 out of 3","Super Area","Khairatabad, NH 7","Hyderabad","Unfurnished","Bachelors/Family",1,"Contact Owner",444
"4553","2022-07-02",2,1125,"1 out of 2","Super Area","Gandhamguda, Bairagiguda","Hyderabad","Unfurnished","Bachelors",2,"Contact Owner",445
"4571","2022-05-09",2,1200,"2 out of 4","Super Area","Srini kunj Anasuya Enclave, Lingampally, Kachiguda, Hyderabad","Hyderabad","Unfurnished","Bachelors",2,"Contact Owner",446
"4587","2022-06-14",1,500,"2 out of 3","Super Area","Almasguda","Hyderabad","Unfurnished","Bachelors/Family",1,"Contact Owner",447
"4590","2022-07-02",2,200,"3 out of 3","Carpet Area","Puppalaguda","Hyderabad","Unfurnished","Family",2,"Contact Owner",448
"4593","2022-06-22",3,1250,"1 out of 3","Super Area","Manikonda, Outer Ring Road","Hyderabad","Semi-Furnished","Bachelors/Family",3,"Contact Owner",449
"4596","2022-06-29",3,1960,"8 out of 20","Super Area","aparna sarovar grande","Hyderabad","Semi-Furnished","Bachelors/Family",3,"Contact Agent",450
"4598","2022-06-29",3,1834,"15 out of 30","Super Area","Narsingi, Outer Ring Road","Hyderabad","Semi-Furnished","Bachelors/Family",3,"Contact Agent",451
"4617","2022-06-26",3,225,"Ground out of 1","Carpet Area","Ragannaguda, Outer Ring Road","Hyderabad","Unfurnished","Bachelors/Family",3,"Contact Owner",452
"4618","2022-07-06",1,550,"4 out of 6","Super Area","Qutub Shahi Tombs","Hyderabad","Furnished","Bachelors/Family",1,"Contact Owner",453
"4620","2022-06-10",2,600,"1 out of 2","Super Area","Murad Nagar, Lal Darwaza, Falaknuma Road","Hyderabad","Unfurnished","Bachelors/Family",1,"Contact Owner",454
"4623","2022-06-29",2,1205,"3 out of 5","Super Area","Pocharam, Hyderabad near infosys","Hyderabad","Furnished","Bachelors/Family",2,"Contact Owner",455
"4636","2022-06-20",4,2300,"4 out of 5","Carpet Area","Punjagutta X Roads","Hyderabad","Semi-Furnished","Bachelors/Family",4,"Contact Owner",456
"4644","2022-07-06",2,770,"1 out of 4","Super Area","Kapra","Hyderabad","Semi-Furnished","Bachelors/Family",2,"Contact Owner",457
"4645","2022-07-06",3,3200,"1 out of 3","Carpet Area","Kukatpally, NH 9","Hyderabad","Semi-Furnished","Bachelors/Family",3,"Contact Agent",458
"4649","2022-07-06",6,4500,"1 out of 2","Super Area","Kakateeya Nagar, Secunderabad","Hyderabad","Semi-Furnished","Bachelors/Family",6,"Contact Owner",459
"4651","2022-05-04",1,1000,"2 out of 5","Carpet Area","Manikonda, Outer Ring Road","Hyderabad","Semi-Furnished","Bachelors/Family",1,"Contact Owner",460
"4661","2022-06-20",3,1800,"4 out of 5","Carpet Area","Mokila","Hyderabad","Semi-Furnished","Bachelors/Family",3,"Contact Agent",461
"4662","2022-07-06",1,600,"1 out of 4","Carpet Area","Himayath Nagar, NH 7","Hyderabad","Semi-Furnished","Bachelors/Family",1,"Contact Agent",462
"4664","2022-07-08",2,1100,"4 out of 5","Carpet Area","Chandanagar, NH 9","Hyderabad","Furnished","Bachelors",2,"Contact Owner",463
"4682","2022-05-25",2,700,"3 out of 7","Super Area","Toli Chowki","Hyderabad","Unfurnished","Bachelors/Family",2,"Contact Owner",464
"4686","2022-07-02",2,1125,"2 out of 3","Carpet Area","Allwyn Colony","Hyderabad","Unfurnished","Bachelors",2,"Contact Owner",465
"4689","2022-07-02",2,1350,"8 out of 14","Super Area","Rajendra Nagar, Outer Ring Road","Hyderabad","Semi-Furnished","Bachelors",2,"Contact Owner",466
"4690","2022-07-06",1,600,"2 out of 3","Super Area","Kukatpally, NH 9","Hyderabad","Unfurnished","Bachelors/Family",1,"Contact Owner",467
"4692","2022-06-29",3,1100,"2 out of 5","Super Area","New Mallepally","Hyderabad","Semi-Furnished","Bachelors/Family",3,"Contact Owner",468
