"","Posted.On","BHK","Rent","Size","Floor","Area.Type","Area.Locality","City","Furnishing.Status","Tenant.Preferred","Bathroom","Point.of.Contact"
"2162","2022-05-23",2,12000,850,"Ground out of 4","Super Area","Basaveshwar Nagar","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"2163","2022-07-02",2,24000,990,"14 out of 30","Carpet Area","Tumkur Road","Bangalore","Furnished","Bachelors/Family",2,"Contact Owner"
"2164","2022-06-20",2,12000,750,"Ground out of 3","Super Area","BBMP convertion layout","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"2165","2022-06-20",1,10000,500,"2 out of 3","Super Area","Garvebhavi Palya","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"2167","2022-06-08",1,9000,600,"3 out of 4","Carpet Area","Chelekare, Kalyan Nagar, Outer Ring Road","Bangalore","Semi-Furnished","Family",1,"Contact Owner"
"2168","2022-06-11",2,12000,900,"1 out of 2","Carpet Area","Jeevanhalli, Cox Town","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"2170","2022-04-29",2,15000,900,"1 out of 3","Carpet Area","Venkatpura, HSR Layout","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"2171","2022-05-23",1,5500,600,"2 out of 3","Super Area","Byatarayanapura","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"2172","2022-06-23",2,18000,1000,"Ground out of 4","Carpet Area","Kudlu Gate","Bangalore","Semi-Furnished","Family",2,"Contact Owner"
"2173","2022-07-06",2,42000,1150,"2 out of 4","Carpet Area","Koramangala","Bangalore","Furnished","Bachelors",2,"Contact Agent"
"2174","2022-04-29",2,18000,1250,"1 out of 4","Super Area","Devarachikannahalli, Begur Road","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"2175","2022-04-29",2,15000,1000,"1 out of 4","Super Area","Jp Nagar Phase 7, J P Nagar","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"2176","2022-06-04",1,6000,500,"2 out of 3","Super Area","Electronic City Phase 2, Electronic City","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"2177","2022-05-14",3,30000,2000,"1 out of 1","Super Area","Jp Nagar Phase 6, J P Nagar, Outer Ring Road","Bangalore","Semi-Furnished","Bachelors/Family",3,"Contact Owner"
"2179","2022-06-28",2,10000,990,"Ground out of 2","Carpet Area","Hbr Layout Block 2, HBR Layout","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"2180","2022-06-27",2,9500,850,"1 out of 2","Carpet Area","Raghavendra Layout","Bangalore","Semi-Furnished","Bachelors",1,"Contact Owner"
"2181","2022-05-05",2,16000,1000,"4 out of 5","Super Area","Kaggadasapura, Indira nagar","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"2182","2022-06-23",2,9500,650,"4 out of 5","Super Area","Nagvarpalya Main Road","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"2183","2022-06-16",1,6500,400,"2 out of 2","Carpet Area","whitefield","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"2184","2022-06-03",2,13500,1000,"2 out of 2","Carpet Area","Mylasandra","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"2185","2022-04-29",2,25000,1350,"12 out of 13","Super Area","Doddaballapur Road","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"2186","2022-05-23",2,9500,600,"2 out of 3","Super Area","Hbr Layout","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"2187","2022-06-08",4,190000,4000,"Ground out of 2","Super Area","Koramangala","Bangalore","Furnished","Bachelors/Family",5,"Contact Owner"
"2188","2022-06-28",2,90000,950,"4 out of 5","Carpet Area","Aarna Enclave","Bangalore","Unfurnished","Bachelors/Family",2,"Contact Owner"
"2189","2022-06-30",2,24000,777,"4 out of 8","Carpet Area","Yelahanka","Bangalore","Semi-Furnished","Family",2,"Contact Agent"
"2190","2022-06-23",3,15000,1200,"2 out of 4","Carpet Area","Electronic City","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"2192","2022-06-20",3,34000,1500,"14 out of 20","Carpet Area","Yeshwantpur","Bangalore","Semi-Furnished","Bachelors",3,"Contact Agent"
"2193","2022-06-06",2,12500,570,"1 out of 3","Super Area","Btm Layout Stage 4","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"2194","2022-07-03",3,28000,1800,"18 out of 19","Carpet Area","Mysore Road","Bangalore","Semi-Furnished","Bachelors/Family",3,"Contact Owner"
"2195","2022-07-04",2,12000,1100,"1 out of 3","Super Area","Arakere","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"2196","2022-06-23",1,8000,400,"Ground out of 2","Super Area","Lingarajapuram, Lingarajapuram, Hennur Main Road","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner"
"2197","2022-06-11",1,7500,750,"1 out of 1","Carpet Area","Bettadasanapura","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"2198","2022-06-03",2,34000,1400,"5 out of 5","Carpet Area","HRBR Layout Block 1","Bangalore","Furnished","Bachelors",2,"Contact Agent"
"2199","2022-06-27",3,32000,1789,"8 out of 13","Super Area","Yelahanka","Bangalore","Semi-Furnished","Family",3,"Contact Agent"
"2200","2022-05-23",2,14500,650,"1 out of 2","Carpet Area","Maruthi Nagar-Kaggadasapura, Kaggadasapura","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"2201","2022-04-29",2,16000,1200,"2 out of 4","Super Area","Hulimavu","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"2202","2022-04-29",1,7500,460,"3 out of 4","Super Area","Singahalli","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"2203","2022-06-24",2,7500,500,"1 out of 2","Carpet Area","Kammagondahalli, Jalahalli","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"2205","2022-06-10",3,75000,2000,"1 out of 5","Carpet Area","Dhobi Ghat- Rajajinagar","Bangalore","Furnished","Bachelors",2,"Contact Agent"
"2206","2022-07-06",2,16500,1100,"2 out of 3","Super Area","Hbr Layout","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"2207","2022-06-01",2,14500,1025,"8 out of 9","Super Area","Chandapura","Bangalore","Unfurnished","Bachelors",2,"Contact Owner"
"2208","2022-06-27",2,16000,650,"Ground out of 3","Carpet Area","Aradhana Layout, Arakere","Bangalore","Unfurnished","Bachelors/Family",2,"Contact Owner"
"2209","2022-05-23",2,8000,800,"1 out of 3","Super Area","Mahadevapura","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"2210","2022-07-06",3,280000,2800,"6 out of 30","Carpet Area","Rajajinagar","Bangalore","Furnished","Bachelors/Family",3,"Contact Agent"
"2211","2022-05-19",2,21000,1100,"3 out of 4","Carpet Area","Hennur Main Road","Bangalore","Furnished","Bachelors",2,"Contact Agent"
"2212","2022-05-19",3,30000,1300,"2 out of 4","Carpet Area","Maruthi Sevanagar","Bangalore","Semi-Furnished","Bachelors",3,"Contact Agent"
"2213","2022-06-16",3,65000,2000,"3 out of 6","Super Area","Frazer Town","Bangalore","Semi-Furnished","Bachelors",3,"Contact Agent"
"2214","2022-06-16",3,180000,2500,"4 out of 8","Carpet Area","Mahatma Gandhi Road","Bangalore","Unfurnished","Bachelors",3,"Contact Agent"
"2215","2022-06-08",2,10000,600,"2 out of 4","Super Area","Hommadevanahalli","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"2216","2022-07-07",2,12000,630,"3 out of 5","Super Area","Whitefield","Bangalore","Furnished","Bachelors/Family",2,"Contact Owner"
"2217","2022-07-07",2,9000,550,"Ground out of 2","Super Area","Hosakerehalli","Bangalore","Unfurnished","Bachelors/Family",2,"Contact Owner"
"2218","2022-06-01",2,22000,1025,"3 out of 3","Super Area","Basaveshvara Nagar","Bangalore","Semi-Furnished","Family",2,"Contact Owner"
"2219","2022-05-08",1,10000,500,"1 out of 4","Carpet Area","Kadugodi Pattalamma Layout","Bangalore","Semi-Furnished","Bachelors",1,"Contact Owner"
"2220","2022-05-25",3,48000,1286,"8 out of 16","Carpet Area","Hebbal","Bangalore","Semi-Furnished","Bachelors",3,"Contact Agent"
"2221","2022-06-22",1,11000,800,"Ground out of 4","Super Area","Adugodi","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"2222","2022-06-09",2,11000,900,"1 out of 3","Super Area","Singasandra, Hosur Road","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"2223","2022-06-23",3,40000,1618,"2 out of 4","Super Area","Yelahanka New Town","Bangalore","Semi-Furnished","Bachelors/Family",3,"Contact Owner"
"2224","2022-06-08",1,10000,500,"2 out of 5","Super Area","Marathahalli-Sarjapur Outer Ring Road","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"2225","2022-06-27",1,6500,450,"Ground out of 2","Carpet Area","Garden City University","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"2226","2022-04-29",2,18000,850,"3 out of 4","Super Area","Padmanabha Nagar","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"2227","2022-07-07",3,22000,1374,"Ground out of 16","Super Area","Kanakapura Road","Bangalore","Semi-Furnished","Family",2,"Contact Agent"
"2228","2022-05-30",3,28000,1600,"2 out of 4","Super Area","Banaswadi","Bangalore","Semi-Furnished","Bachelors/Family",3,"Contact Owner"
"2230","2022-06-12",3,110000,1500,"6 out of 16","Carpet Area","Hebbal","Bangalore","Furnished","Bachelors/Family",3,"Contact Agent"
"2232","2022-05-21",3,50000,1580,"3 out of 3","Carpet Area","Koramangala 8Th Block","Bangalore","Unfurnished","Bachelors",3,"Contact Agent"
"2233","2022-06-23",2,12000,700,"Ground out of 2","Carpet Area","Agrahara Layout","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"2234","2022-05-08",2,11500,700,"Ground out of 2","Super Area","Sadashiva Nagar","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"2235","2022-06-20",1,16000,550,"1 out of 7","Carpet Area","Doddanekundi, Kartik Nagar","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Agent"
"2236","2022-06-16",1,11000,450,"4 out of 4","Carpet Area","Krishna Reddy Layout -Domlur","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Agent"
"2238","2022-06-30",1,9000,400,"1 out of 1","Super Area","Laxminarayana Layout, Munnekollal","Bangalore","Semi-Furnished","Bachelors",1,"Contact Owner"
"2239","2022-07-07",1,6000,650,"Ground out of 3","Super Area","Jnana Ganga Nagar","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"2240","2022-07-04",2,12000,700,"1 out of 4","Super Area","Bagalur","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"2241","2022-05-27",2,16000,1333,"2 out of 4","Super Area","Ms Palya, Vidyaranyapura","Bangalore","Unfurnished","Bachelors",2,"Contact Owner"
"2242","2022-05-31",3,35000,1500,"1 out of 4","Carpet Area","Vasanth Nagar","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Agent"
"2243","2022-05-27",1,9000,425,"2 out of 5","Carpet Area","Murugeshpalya, Airport Road","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Agent"
"2244","2022-05-27",1,8000,300,"Ground out of 3","Super Area","Airport Road","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner"
"2245","2022-06-30",2,13500,650,"2 out of 3","Carpet Area","Vijayanagar","Bangalore","Unfurnished","Family",2,"Contact Owner"
"2246","2022-06-15",2,14000,800,"Ground out of 2","Super Area","Banashankari Stage 2, Banashankari","Bangalore","Semi-Furnished","Family",2,"Contact Owner"
"2247","2022-07-07",2,14000,1200,"2 out of 3","Carpet Area","Srinivaspura","Bangalore","Semi-Furnished","Family",2,"Contact Owner"
"2248","2022-05-05",1,4700,500,"1 out of 4","Super Area","Chikkabanavara","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner"
"2249","2022-05-05",2,17000,1000,"3 out of 4","Super Area","Mavalli","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"2250","2022-06-04",2,11000,600,"1 out of 3","Super Area","K R Puram","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"2251","2022-06-08",1,12000,600,"2 out of 3","Super Area","Thanisandra","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"2252","2022-04-27",3,30000,1875,"3 out of 3","Super Area","Jp Nagar Phase 1, J P Nagar","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"2253","2022-05-05",2,12000,1000,"Ground out of 4","Super Area","K R Puram","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"2254","2022-05-05",3,21000,1300,"3 out of 3","Super Area","Hormavu Ring Road","Bangalore","Furnished","Bachelors/Family",2,"Contact Owner"
"2255","2022-05-14",1,6000,350,"3 out of 4","Super Area","Sunkadakatte","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner"
"2256","2022-06-04",2,18500,900,"2 out of 3","Super Area","Rajajinagar","Bangalore","Unfurnished","Bachelors/Family",2,"Contact Owner"
"2257","2022-04-27",1,4750,200,"2 out of 2","Carpet Area","Chamundeshwari Layout, Arakere","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"2258","2022-05-23",2,15000,700,"1 out of 5","Super Area","Yeshwantpur","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"2260","2022-06-10",3,35000,1700,"10 out of 13","Carpet Area","Thanisandra","Bangalore","Semi-Furnished","Bachelors/Family",3,"Contact Agent"
"2261","2022-05-27",2,8000,600,"2 out of 3","Super Area","Ullal Main Road","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"2262","2022-05-05",1,7000,650,"2 out of 5","Super Area","Rayasandra","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"2263","2022-05-05",2,15000,750,"Ground out of 2","Super Area","Byrathi","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"2264","2022-05-10",3,30000,1750,"1 out of 3","Super Area","Chowdeshwari Layout, Yelahanka","Bangalore","Semi-Furnished","Bachelors/Family",3,"Contact Owner"
"2265","2022-06-02",3,100000,1950,"3 out of 3","Carpet Area","Koramangala Block 3","Bangalore","Semi-Furnished","Bachelors/Family",3,"Contact Agent"
"2266","2022-05-23",2,18000,1065,"2 out of 5","Carpet Area","Horamavu","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Agent"
"2267","2022-05-23",2,8000,600,"Ground out of 1","Super Area","Nagadevana Halli","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"2268","2022-05-23",2,9000,600,"2 out of 4","Super Area","Laggere","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"2269","2022-06-27",1,6000,500,"Ground out of 2","Super Area","Doddanagamangala","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner"
"2271","2022-07-04",1,15000,600,"5 out of 5","Carpet Area","A Narayanapura, Mahadevapura","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Agent"
"2272","2022-07-06",2,10000,900,"1 out of 1","Carpet Area","Chikbasavnapura, Krishnarajapura","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"2273","2022-06-23",2,14000,500,"Ground out of 3","Super Area","Shivaji Nagar","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"2274","2022-05-23",1,7000,600,"2 out of 3","Super Area","Sunkadakatte","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner"
"2275","2022-07-06",3,60000,1710,"6 out of 18","Carpet Area","Ambedkar Colony, Yelahanka","Bangalore","Unfurnished","Bachelors/Family",3,"Contact Agent"
"2276","2022-05-23",1,6000,600,"3 out of 4","Super Area","Doddabidarakallu","Bangalore","Unfurnished","Bachelors",1,"Contact Owner"
"2277","2022-06-13",3,17000,1100,"1 out of 3","Carpet Area","Anjanapura","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"2278","2022-05-06",2,15000,920,"4 out of 4","Super Area","Yelahanka","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"2279","2022-05-30",1,8200,750,"2 out of 4","Super Area","Aecs Layout-Singasandra, Singasandra, Hosur Road","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"2280","2022-07-07",1,8500,300,"2 out of 3","Super Area","Bommanahalli","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"2282","2022-05-23",1,8000,400,"2 out of 3","Super Area","Vimanapura, Airport Road","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"2283","2022-04-29",2,20000,300,"1 out of 3","Super Area","Nagarathpete","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"2285","2022-05-16",3,30000,2000,"3 out of 3","Carpet Area","Jakkur Plantation, Jakkuru, Bellary Road","Bangalore","Furnished","Bachelors/Family",2,"Contact Owner"
"2286","2022-06-12",3,22000,1200,"4 out of 4","Carpet Area","Doddakammanahalli","Bangalore","Semi-Furnished","Bachelors",3,"Contact Owner"
"2287","2022-04-28",1,6500,300,"2 out of 3","Super Area","Hebbal","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"2288","2022-05-25",1,6500,700,"Ground out of 1","Super Area","Hosakerehalli","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner"
"2289","2022-05-18",2,16000,850,"Ground out of 2","Super Area","Jp Nagar Phase 1, J P Nagar","Bangalore","Semi-Furnished","Bachelors/Family",3,"Contact Owner"
"2291","2022-07-07",1,15000,455,"2 out of 4","Carpet Area","Murugeshpalya, Airport Road","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Agent"
"2292","2022-06-26",2,18000,1000,"Ground out of 4","Carpet Area","Sai Colony, Krishnarajapura","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"2293","2022-05-30",1,8500,600,"1 out of 2","Super Area","Shivaji Nagar","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"2294","2022-05-23",1,4000,250,"Ground out of 2","Super Area","Vijayanagar","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner"
"2295","2022-05-23",1,5000,400,"1 out of 2","Super Area","T Dasarahalli","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner"
"2296","2022-07-04",2,22000,1200,"3 out of 5","Carpet Area","Mahadevapura","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Agent"
"2297","2022-04-27",1,12000,500,"2 out of 5","Carpet Area","Electronics City Phase 1, Electronic City","Bangalore","Semi-Furnished","Bachelors",1,"Contact Owner"
"2299","2022-04-29",2,7500,1100,"Ground out of 3","Super Area","Vinayak Nagar, Kattigenahalli","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"2300","2022-06-04",2,30000,1650,"2 out of 3","Super Area","Ganga Nagar","Bangalore","Unfurnished","Bachelors/Family",3,"Contact Owner"
"2301","2022-05-05",4,14000,1000,"Ground out of 4","Super Area","Electronic City Phase 2, Electronic City","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"2302","2022-06-19",2,9250,500,"2 out of 3","Super Area","Banashankari","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"2304","2022-05-23",2,12000,1200,"Ground out of 5","Super Area","Vijayanagar","Bangalore","Unfurnished","Bachelors/Family",2,"Contact Owner"
"2305","2022-04-27",1,12000,600,"1 out of 2","Super Area","Wilson Garden","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner"
"2306","2022-05-01",2,10000,925,"2 out of 5","Super Area","Electronic City","Bangalore","Unfurnished","Bachelors/Family",2,"Contact Owner"
"2307","2022-07-09",3,60000,2400,"Ground out of 8","Carpet Area","Koramangala","Bangalore","Semi-Furnished","Bachelors",3,"Contact Agent"
"2308","2022-05-23",3,35000,1500,"1 out of 9","Carpet Area","Hebbal","Bangalore","Semi-Furnished","Bachelors/Family",3,"Contact Agent"
"2309","2022-05-27",2,12000,600,"Ground out of 4","Super Area","Dooravani Nagar, Dooravani Nagar","Bangalore","Unfurnished","Bachelors/Family",2,"Contact Owner"
"2310","2022-05-27",1,14000,435,"3 out of 5","Carpet Area","Murugeshpalya, Airport Road","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Agent"
"2311","2022-05-14",1,8000,650,"Ground out of 1","Carpet Area","Srinivasa Nagar-Banashankari, Banashankari","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"2312","2022-06-15",2,11000,700,"Ground out of 2","Carpet Area","Uttarahalli","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"2313","2022-06-30",2,20000,890,"5 out of 12","Carpet Area","Yelahanka","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Agent"
"2315","2022-06-23",2,35000,1250,"3 out of 4","Carpet Area","Cunningham Road","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Agent"
"2316","2022-07-04",3,26000,1350,"2 out of 5","Carpet Area","Mahadevapura","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Agent"
"2317","2022-07-06",3,85000,2600,"8 out of 18","Carpet Area","Hebbal","Bangalore","Semi-Furnished","Family",4,"Contact Agent"
"2318","2022-05-27",1,14000,440,"2 out of 5","Carpet Area","Murugeshpalya, Airport Road","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Agent"
"2320","2022-05-16",1,7000,450,"2 out of 4","Super Area","Electronic City Phase 2, Electronic City","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"2321","2022-04-29",2,16000,1150,"3 out of 5","Super Area","Nri Layout","Bangalore","Furnished","Bachelors/Family",2,"Contact Owner"
"2322","2022-05-28",2,11000,600,"2 out of 5","Carpet Area","Gottigere","Bangalore","Unfurnished","Bachelors",1,"Contact Owner"
"2323","2022-06-30",2,20000,980,"4 out of 12","Carpet Area","Yelahanka","Bangalore","Semi-Furnished","Family",2,"Contact Agent"
"2324","2022-07-05",3,60000,1850,"3 out of 3","Carpet Area","Halasuru","Bangalore","Furnished","Bachelors/Family",3,"Contact Owner"
"2326","2022-05-27",1,4000,100,"2 out of 3","Super Area","Itc Colony, Maruthi Sevanagar","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"2327","2022-07-05",2,15000,1200,"1 out of 1","Carpet Area","Varthur","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"2328","2022-05-01",3,18000,1200,"Ground out of 4","Carpet Area","Bagalakunte","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"2329","2022-06-14",2,12000,1080,"1 out of 2","Carpet Area","Punyabhoomi Layout","Bangalore","Semi-Furnished","Bachelors",1,"Contact Owner"
"2330","2022-05-14",1,8500,700,"1 out of 3","Super Area","Amrutahalli","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"2331","2022-05-05",2,11000,800,"Ground out of 1","Super Area","Panduranga Nagar, bannerghatta main Road","Bangalore","Unfurnished","Bachelors/Family",2,"Contact Owner"
"2332","2022-05-05",3,42000,1880,"14 out of 14","Super Area","whitefield","Bangalore","Semi-Furnished","Family",2,"Contact Owner"
"2333","2022-04-29",2,25000,1305,"1 out of 8","Super Area","Jakkur","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"2334","2022-04-29",1,8500,600,"3 out of 5","Super Area","Sahakara Nagar","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"2335","2022-06-08",2,12500,950,"2 out of 8","Super Area","Yelahanka Dodda Ballapur Road","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"2336","2022-06-20",2,18000,1188,"Ground out of 4","Super Area","Hegde Nagar, R.K.Hegde Nagar","Bangalore","Unfurnished","Bachelors/Family",2,"Contact Owner"
"2337","2022-06-23",1,6000,500,"2 out of 3","Super Area","Vijayanagar","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner"
"2338","2022-05-27",2,9000,875,"Ground out of 1","Super Area","Kereguddadahalli, chikkabanavara Bangalore","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"2339","2022-06-23",3,54000,2100,"3 out of 4","Carpet Area","Wilson garden Bangalore","Bangalore","Unfurnished","Bachelors",3,"Contact Agent"
"2340","2022-05-05",3,22000,1200,"2 out of 4","Super Area","Annapurneshwari Nagar","Bangalore","Furnished","Bachelors/Family",2,"Contact Owner"
"2341","2022-07-06",3,120000,2390,"3 out of 17","Super Area","Rajajinagar","Bangalore","Semi-Furnished","Bachelors/Family",3,"Contact Owner"
"2342","2022-06-20",1,7000,600,"1 out of 3","Super Area","Ramamurthy Nagar","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"2343","2022-06-10",2,28000,1150,"1 out of 2","Carpet Area","Hrbr Layout Block 2, Kalyan Nagar, Outer Ring Road","Bangalore","Semi-Furnished","Family",2,"Contact Agent"
"2344","2022-06-12",3,55000,1788,"Ground out of 1","Carpet Area","Koramangala Block 4","Bangalore","Semi-Furnished","Family",3,"Contact Agent"
"2345","2022-05-23",2,19000,1250,"3 out of 3","Super Area","Electronic City","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"2347","2022-07-04",3,18000,1600,"2 out of 4","Super Area","Vimanapura, Airport Road","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"2348","2022-07-06",3,70000,1520,"23 out of 25","Carpet Area","Sena Vihar, Kammanahalli","Bangalore","Semi-Furnished","Bachelors/Family",4,"Contact Agent"
"2349","2022-06-15",1,12000,550,"1 out of 3","Carpet Area","Koramangala","Bangalore","Semi-Furnished","Bachelors",1,"Contact Agent"
"2350","2022-05-05",2,18000,1100,"2 out of 4","Super Area","K R Puram","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"2351","2022-05-12",2,30000,1100,"2 out of 5","Carpet Area","Hsr Layout","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Agent"
"2352","2022-07-04",2,10000,1100,"Ground out of 3","Super Area","Chikkabanavara","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"2353","2022-05-05",1,6000,400,"1 out of 3","Super Area","Nandini Layout","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner"
"2354","2022-07-07",1,4500,300,"3 out of 3","Super Area","Virat Nagar, Bommanahalli","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"2355","2022-06-16",1,8000,500,"Ground out of 3","Super Area","Rajarajeshwari Nagar","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"2356","2022-05-19",2,20000,1100,"3 out of 4","Carpet Area","Hennur Main Road","Bangalore","Furnished","Bachelors",2,"Contact Agent"
"2357","2022-06-27",2,17500,1000,"1 out of 3","Carpet Area","Dodda Banaswadi, Banaswadi","Bangalore","Unfurnished","Family",2,"Contact Owner"
"2358","2022-05-27",2,22000,850,"Ground out of 4","Super Area","Jp Nagar Phase 5, J P Nagar, Outer Ring Road","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"2359","2022-05-27",2,17000,1020,"2 out of 5","Super Area","Bommanahalli","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"2360","2022-05-19",2,22000,1250,"1 out of 1","Super Area","Kammanahalli","Bangalore","Unfurnished","Bachelors",2,"Contact Owner"
